Nama Petshop,Alamat,No WA,Mitra,Kota,Distributor,Kurir
"Ky Petshop Pekalongan","Pekalongan","6289618103111","Tidak","Pekalongan","Pusat",""
"Kyubi Petshop Owner Trenggalek","Trenggalek","6281326820181","Tidak","Trenggalek","Pusat",""
"Kyubi Petshop Trenggalek Jatim","Trenggalek","6281226945992","Tidak","Trenggalek","Pusat",""
"La Nostra Petshop Sidoarjo","Sidoarjo","6288230964978","Tidak","Sidoarjo","Pusat",""
"La Petshop Baubau","Jakarta Pusat","6282195407256","Tidak","Jakarta Pusat","Pusat",""
"Labarong Petshop Jogja DIY","Yogyakarta","6281578779777","Tidak","Yogyakarta","Pusat",""
"Laksaman Petshop Lubuklinggau Sumatera","Lubuklinggau","6281366376087","Tidak","Lubuklinggau","Pusat",""
"Lala Tris Petshop Karawang Jawa Barat","Karawang","6287881361030","Tidak","Karawang","Pusat",""
"Lambung Petshop Samarinda Kaltim","Samarinda","6282154595159","Tidak","Samarinda","Pusat",""
"Lancar Jaya Petshop","Jakarta Pusat","6281231163458","Tidak","Jakarta Pusat","Pusat",""
"Lancar Jaya Petshop Surabaya","Surabaya","6281703741155","Tidak","Surabaya","Pusat",""
"Laras Satwa Petshop Jogja DIY","Yogyakarta","622747114869","Tidak","Yogyakarta","Pusat",""
"Lav Petshop Surabaya","Surabaya","6287854355633","Tidak","Surabaya","Pusat",""
"Lefa Petshop Padang Pengadaan Barang","Padang","6282171994333","Tidak","Padang","Pusat",""
"Leids Kennel Salon Petshop Jogja DIY","Yogyakarta","628562892115","Tidak","Yogyakarta","Pusat",""
"Lena Cinandy Happy Petshop Tulungagung Jatim","Tulungagung","6285745939954","Tidak","Tulungagung","Pusat",""
"Leny Paw Cat Petshop Bogor","Bogor","6281294949066","Tidak","Bogor","Pusat",""
"Lian Petshop Makassar Sulsel","Macassar","6282192034900","Tidak","Macassar","Pusat",""
"Lintang Petshop & Aquarium Kuningan","Jakarta Pusat","6285224379607","Tidak","Jakarta Pusat","Pusat",""
"Lion Animal Care Gresik","Gresik","6282140259886","Tidak","Gresik","Pusat",""
"Little Paw Vet Clinic Surabaya","Surabaya","6285791234570","Tidak","Surabaya","Pusat",""
"Liz CAT Shop Petshop Trenggalek Jatim","Trenggalek","6285655533331","Tidak","Trenggalek","Pusat",""
"Lolly Petshop Ponorogoo","Ponorogo","6285646512110","Tidak","Ponorogo","Pusat",""
"Lorens Petshop Sleman Jateng","Sleman","6281225512511","Tidak","Sleman","Pusat",""
"Lotus Petshop Sidoarjo","Sidoarjo","6285777719020","Tidak","Sidoarjo","Pusat",""
"Louis Vet & Petshop Palu Sulteng","Palu","6282170724004","Tidak","Palu","Pusat",""
"Lovely Cat Petshop Makassar Sulsel","Macassar","628114119291","Tidak","Macassar","Pusat",""
"Lovely Petshop Palu Sulteng","Palu","628114514769","Tidak","Palu","Pusat",""
"Lucky Paws Petshop Bandung","Bandung","6281284175088","Tidak","Bandung","Pusat",""
"Lucky Star Petshop Bandar Lampung","Lampung","6285709435968","Tidak","Lampung","Pusat",""
"Luckyta Vet Care Kediri","Kediri","6281315106200","Tidak","Kediri","Pusat",""
"Luna Petshop Kediri","Kediri","6281555673321","Tidak","Kediri","Pusat",""
"Luna Petshop Kediri","Kediri","6281555673321","Tidak","Kediri","Pusat",""
"Luna Petshop Klaten Jawa Tengah","Klaten","6281226134433","Tidak","Klaten","Pusat",""
"Luna Petshop Magelang Jateng","Magelang","6285868624301","Tidak","Magelang","Pusat",""
"Luna Petshop Magelang Jawa Tengah","Magelang","6282269345758","Tidak","Magelang","Pusat",""
"Luna Petshop Surabaya Jatim","Surabaya","6285103495656","Tidak","Surabaya","Pusat",""
"Luqman Shiraha Pet Shop Solo","Surakarta","628975033035","Tidak","Surakarta","Pusat",""
"M Ridwan Petshop Tangerang Banten","Tangerang","6281289075543","Tidak","Tangerang","Pusat",""
"Madani Petshop Bogor","Bogor","6281287363594","Tidak","Bogor","Pusat",""
"Magic Petshop Jogja","Yogyakarta","6289608091940","Tidak","Yogyakarta","Pusat",""
"Mahira Petshop Cibinong Bogor","Bogor","6285218447873","Tidak","Bogor","Pusat",""
"Majalaya Petshop Sukabumi","Sukabumi","6281280890007","Tidak","Sukabumi","Pusat",""
"Makassar Vet Clinic","Macassar","6285341790960","Tidak","Macassar","Pusat",""
"Malindo Petshop Dan Klinik Hewan Kebumen","Kebumen","6281392756300","Tidak","Kebumen","Pusat",""
"Mamy Petshop Sidoarjo","Sidoarjo","6282140091483","Tidak","Sidoarjo","Pusat",""
"Mandai Petshop Makassar","Macassar","6282311113753","Tidak","Macassar","Pusat",""
"Mangli Petshop Jember","Jember","6281232665302","Tidak","Jember","Pusat",""
"Mao Petshop Depok","Depok","6281286037995","Tidak","Depok","Pusat",""
"Marawa Petshop Bandung","Bandung","6281903322587","Tidak","Bandung","Pusat",""
"Marco Petshop Sulawesi Selatan","Jakarta Pusat","6285242204240","Tidak","Jakarta Pusat","Pusat",""
"Marvelle Petshop Solo Jateng","Surakarta","6285729442385","Tidak","Surakarta","Pusat",""
"Marvelle Petshop Surakarta Jawa Tengah","Surakarta","6289527973700","Tidak","Surakarta","Pusat",""
"Mas Kresna Owner Patzy Petshop Ponorogo","Ponorogo","6282230797335","Tidak","Ponorogo","Pusat",""
"Masha Cat Malaysia","Jakarta Pusat","60137338890","Tidak","Jakarta Pusat","Pusat",""
"Mawarwo Petshop Surabaya","Surabaya","6285100275442","Tidak","Surabaya","Pusat",""
"Max Petshop Banjarmasin","Banjarmasin","6281649365369","Tidak","Banjarmasin","Pusat",""
"Mbak Ari Koneko Petshop Madiun 2","Madiun","6285806789092","Tidak","Madiun","Pusat",""
"Mbak Soca Owner Wicka Petshop Nganjuk Jatim","Nganjuk","6281230994477","Tidak","Nganjuk","Pusat",""
"Mechin Petshop Jogja","Yogyakarta","6285743951515","Tidak","Yogyakarta","Pusat",""
"Mega Lohan Petshop Karawang Jawa Barat","Karawang","628118853313","Tidak","Karawang","Pusat",""
"Mega Petshop Jambi","Jambi","6282177141848","Tidak","Jambi","Pusat",""
"Mekar Harapan Petshop Sumedang","Medan","628122492648","Tidak","Medan","Pusat",""
"Meo Petshop Surabaya","Surabaya","6281342291155","Tidak","Surabaya","Pusat",""
"Meolands Petshop Takalar Sulsel","Jakarta Pusat","628990329270","Tidak","Jakarta Pusat","Pusat",""
"Meong Petshop Palu Sulteng","Palu","6281242261180","Tidak","Palu","Pusat",""
"Meooong Petshop Lumajang","Jakarta Pusat","6285101737000","Tidak","Jakarta Pusat","Pusat",""
"Meow Petshop Banyumas","Jakarta Pusat","628112688848","Tidak","Jakarta Pusat","Pusat",""
"Meow Petshop Jember Jatim","Jl. Sentot Prowodirjo Jember","6285746632203","Tidak","Jember","Pusat",""
"Meow Petshop Medan","Medan","6281375178510","Tidak","Medan","Pusat",""
"Meoww Petshop Gresik","Gresik","628175086268","Tidak","Gresik","Pusat",""
"Merci Petshop Bandung","Bandung","6281212123781","Tidak","Bandung","Pusat",""
"Meteor Petshop Bogor","Bogor","6287781303608","Tidak","Bogor","Pusat",""
"Miaw Miaw Petshop Banten","Jakarta Pusat","622547915738","Tidak","Jakarta Pusat","Pusat",""
"Miaw Miaw Petshop Serang Banten","Serang","6287832365417","Tidak","Serang","Pusat",""
"Miaw Petshop Gubeng Surabaya Jatim","Surabaya","6282139156776","Tidak","Surabaya","Pusat",""
"Miels Petshop Ngawi Jatim","Surabaya","6283845216464","Tidak","Surabaya","Pusat",""
"Miki Petshop Jombang","Jombang","6282233040465","Tidak","Jombang","Pusat",""
"Mikomiko Petshop Tasikmalaya","Tasikmalaya","6281394247502","Tidak","Tasikmalaya","Pusat",""
"Milan Petshop Denpasar","Denpasar","628128188640","Tidak","Denpasar","Pusat",""
"Milan Petshop Garut","Jakarta Pusat","6282214202953","Tidak","Jakarta Pusat","Pusat",""
"Miu Petshop Karanganyar Jawa Tengah","Karanganyar","6289531178012","Tidak","Karanganyar","Pusat",""
"MJ Petshop Denpasar Bali","Denpasar","6281338374242","Tidak","Denpasar","Pusat",""
"MM PetShop Padang","Padang","6281374233686","Tidak","Padang","Pusat",""
"Mobili Petshop Surabaya","Surabaya","6281330896478","Tidak","Surabaya","Pusat",""
"Mocca Petshop & Clinic Jakarta Pusat","Jakarta Pusat","6282246479669","Tidak","Jakarta Pusat","Pusat",""
"Mocca Petshop Jaksel","Jakarta Pusat","628118183387","Tidak","Jakarta Pusat","Pusat",""
"Mocca Petshop Semarang","Semarang","6281236988341","Tidak","Semarang","Pusat",""
"Mochi Petshop Semarang","Semarang","6285161996967","Tidak","Semarang","Pusat",""
"Mochi Vet N Care Cilegon Banten","Cilegon","6285716583139","Tidak","Cilegon","Pusat",""
"Mochi Vet n Pet Care Cilegon","Cilegon","6281218945747","Tidak","Cilegon","Pusat",""
"Modern Petshop Denpasar Bali","Denpasar","6281211842255","Tidak","Denpasar","Pusat",""
"Moezza Petshop Parepare Sulsel","Parepare","628114448955","Tidak","Parepare","Pusat",""
"Mogu Petshop Badung Bali","Badung","6282144358920","Tidak","Badung","Pusat",""
"Mojokerto Pet Care & Petshop","Mojokerto","628123955790","Tidak","Mojokerto","Pusat",""
"Mojokerto Petshop","Mojokerto","6282133339995","Tidak","Mojokerto","Pusat",""
"Moly Petshop Pasuruan","Pasuruan","6283830009950","Tidak","Pasuruan","Pusat",""
"Moly Petshop Pasuruan 1","Pasuruan","6283830000995","Tidak","Pasuruan","Pusat",""
"Momi Petshop & Klinik Bekasi","Bekasi","6282112111852","Tidak","Bekasi","Pusat",""
"Momo 41 Petshop Yogyakarta","Yogyakarta","6287843307060","Tidak","Yogyakarta","Pusat",""
"Momo And Chilli Petshop Batang","Jakarta Pusat","6282333320614","Tidak","Jakarta Pusat","Pusat",""
"Momo Petshop Makassar","Macassar","6282310456234","Tidak","Macassar","Pusat",""
"Momo Petshop Trenggalek","Trenggalek","6281258127631","Tidak","Trenggalek","Pusat",""
"Momo Petshop Tulungagung Jatim","Tulungagung","6282244293373","Tidak","Tulungagung","Pusat",""
"Monster Air Petshop Boyolali Jateng","Boyolali","6285702222266","Tidak","Boyolali","Pusat",""
"Mooci Petshop Depok","Depok","6285716979524","Tidak","Depok","Pusat",""
"Moshi Petshop Jakarta Jaksel","Jakarta Pusat","6281282522072","Tidak","Jakarta Pusat","Pusat",""
"Moto Kucing Petahop Sukoharjo Jateng","Sukoharjo","6287835509032","Tidak","Sukoharjo","Pusat",""
"Mou Mou Petshop Bandung","Bandung","6287777767127","Tidak","Bandung","Pusat",""
"Mow Mow Petshop Jogja","Yogyakarta","628562892115","Tidak","Yogyakarta","Pusat",""
"Moza Petshop Tegal","Tegal","6287830080596","Tidak","Tegal","Pusat",""
"Mozza Petshop Kupang NTT","Jakarta Pusat","6281237161768","Tidak","Jakarta Pusat","Pusat",""
"Mr Gogon Petshop Sidoarjo","Sidoarjo","6285232606467","Tidak","Sidoarjo","Pusat",""
"Mr Petshop Leuwinanggung Depok","Depok","6281212521905","Tidak","Depok","Pusat",""
"MU Petshop Jogja","Yogyakarta","6285864475558","Tidak","Yogyakarta","Pusat",""
"MU Petshop Jogja DIY","Yogyakarta","6285729238080","Tidak","Yogyakarta","Pusat",""
"Mueza Petshop Magetan Jatim","Magetan","6289639831437","Tidak","Magetan","Pusat",""
"Muezza Petshop Banda Aceh","Banda Aceh","628592465200","Tidak","Banda Aceh","Pusat",""
"Muezza Petshop Magelang Jawa Tengah","Magelang","6282146661114","Tidak","Magelang","Pusat",""
"Muffin Petshop Sumedang","Medan","628122453906","Tidak","Medan","Pusat",""
"Muma Petshop Semarang Jateng","Semarang","6285866205855","Tidak","Semarang","Pusat",""
"Munggur Petshop Jogja","Yogyakarta","6283138555505","Tidak","Yogyakarta","Pusat",""
"Munggur Petshop Sleman Yogyakarta","Yogyakarta","6282133773737","Tidak","Yogyakarta","Pusat",""
"Mustika Vet Care Drh Wahyudi Boyolali Jawa Tengah","Boyolali","6285643276780","Tidak","Boyolali","Pusat",""
"Mustika Vet Dr Yudi Boyolali","Boyolali","6285643590646","Tidak","Boyolali","Pusat",""
"Mutiara Petshop Bandung","Bandung","628217626089","Tidak","Bandung","Pusat",""
"My Animal Petshop Rembang","Jakarta Pusat","6281326066594","Tidak","Jakarta Pusat","Pusat",""
"My Petmart Petshop Surabaya","Surabaya","6281456142569","Tidak","Surabaya","Pusat",""
"My Petshop Lampung","Lampung","6282250803883","Tidak","Lampung","Pusat",""
"My Petshop Majalengka","Jakarta Pusat","6281222085985","Tidak","Jakarta Pusat","Pusat",""
"My Petshop Mojokerto","Mojokerto","6282141015565","Tidak","Mojokerto","Pusat",""
"My Petshop Mojokertoo","Mojokerto","6281235563004","Tidak","Mojokerto","Pusat",""
"My Petshop Pare Kediri","Kediri","628811650798","Tidak","Kediri","Pusat",""
"N2 Petshop & Care Samarinda Kaltim","Samarinda","6281350075555","Tidak","Samarinda","Pusat",""
"N2 Petshop Samarinda","Samarinda","6281229187111","Tidak","Samarinda","Pusat",""
"Nafiia Animal Care Klinik & Petshop Bondowoso","Jakarta Pusat","6281299534737","Tidak","Jakarta Pusat","Pusat",""
"NafiVet Samarinda","Samarinda","6281281732168","Tidak","Samarinda","Pusat",""
"Nang's Petshop Bandung","Bandung","6285860089862","Tidak","Bandung","Pusat",""
"Nara VetCare Kendari","Kendari","6285238917360","Tidak","Kendari","Pusat",""
"Naroo Petshop Yogyakarta","Yogyakarta","6285228207064","Tidak","Yogyakarta","Pusat",""
"Natalia Petshop Bali","Denpasar","6282247840686","Tidak","Denpasar","Pusat",""
"Nataniti Petshop Kupang NTT","Jakarta Pusat","6282213325099","Tidak","Jakarta Pusat","Pusat",""
"Nd Petshop Bogor","Bogor","6281388699901","Tidak","Bogor","Pusat",""
"Neko Neko Petshop Sragen","Sragen","6285159106559","Tidak","Sragen","Pusat",""
"Neko Petshop N Dokter Hewan Kediri","Kediri","6285735566969","Tidak","Kediri","Pusat",""
"Nemo Petshop Banjarsari Surakarta Jawa Tengah","Surakarta","6281390113591","Tidak","Surakarta","Pusat",""
"Net Petshop Bojonegoro","Jl. Setyobudi No.7C, Klangon, Kec. Bojonegoro","6281335754643","Tidak","Bojonegoro","Pusat",""
"New Dago Petshop & Grooming Bandung","Bandung","6282116916508","Tidak","Bandung","Pusat",""
"New Miracle Petshop Manado","Manado","6285341438493","Tidak","Manado","Pusat",""
"Ngunut Petshop Tulungagung","Tulungagung","6285812738356","Tidak","Tulungagung","Pusat",""
"Nikki Petshop Kediri","Kediri","6285330488858","Tidak","Kediri","Pusat",""
"Nina Petshop Lumajang","Jakarta Pusat","6282141615341","Tidak","Jakarta Pusat","Pusat",""
"Nining Meowmeals Petshop NTB","Jakarta Pusat","6287733413050","Tidak","Jakarta Pusat","Pusat",""
"Ninja Petshop Jogja","Yogyakarta","6287855271880","Tidak","Yogyakarta","Pusat",""
"Noky Petshop Jogja","Yogyakarta","6285959445359","Tidak","Yogyakarta","Pusat",""
"Nolaf Petshop Jakarta","Jakarta Pusat","6287733948588","Tidak","Jakarta Pusat","Pusat",""
"Nolla Grosir Petshop Jakarta","Jakarta Pusat","628388477454","Tidak","Jakarta Pusat","Pusat",""
"Nugraha Petshop Buleleng Bali","Denpasar","628174714071","Tidak","Denpasar","Pusat",""
"Nun Petshop Gresik","Gresik","62813333587771","Tidak","Gresik","Pusat",""
"O Petshop Kemang Jakarta Selatan","Jakarta Selatan","6287817107017","Tidak","Jakarta Selatan","Pusat",""
"O'o Petshop Kebumen","Kebumen","6282138557375","Tidak","Kebumen","Pusat",""
"Obral Petshop Makassar","Macassar","6285298975353","Tidak","Macassar","Pusat",""
"Ocis Petshop Samarinda","Samarinda","6285350533383","Tidak","Samarinda","Pusat",""
"Ok Petshop Brebes Jawa Tengah","Semarang","6282133814590","Tidak","Semarang","Pusat",""
"Oke Vetcare Tuban","Tuban","6285733340220","Tidak","Tuban","Pusat",""
"Ola Petshop Cibubur Jaktim","Jakarta Pusat","6285774576146","Tidak","Jakarta Pusat","Pusat",""
"Omah Petshop Sukoharjo","Sukoharjo","6285876891944","Tidak","Sukoharjo","Pusat",""
"Omah Vets N Petshop Jogja","Yogyakarta","6285292077559","Tidak","Yogyakarta","Pusat",""
"Omji Petshop 2 Sidoarjo","Sidoarjo","6289666554416","Tidak","Sidoarjo","Pusat",""
"Omji Petshop Buduran Sidoarjo","Sidoarjo","6285156802804","Tidak","Sidoarjo","Pusat",""
"On Petshop Kuningan","Jakarta Pusat","6281324697697","Tidak","Jakarta Pusat","Pusat",""
"Ondine Petshop Surabaya","Surabaya","62811305650","Tidak","Surabaya","Pusat",""
"One Petshop Magelang","Magelang","6281328797970","Tidak","Magelang","Pusat",""
"Orchid Petshop Samarinda","Samarinda","6282153515488","Tidak","Samarinda","Pusat",""
"Orlando Petshop Solo Jateng","Surakarta","6285102360556","Tidak","Surakarta","Pusat",""
"Our's Petshop & Klinik Medan","Medan","6281377323023","Tidak","Medan","Pusat",""
"Ourvet Day Care & Petshop Klaten","Klaten","6281226277088","Tidak","Klaten","Pusat",""
"Owi Animal Shop & Vetcare","Jakarta Pusat","6287719703371","Tidak","Jakarta Pusat","Pusat",""
"Owi Gudang Petshop DIY","Jakarta Pusat","6281357444297","Tidak","Jakarta Pusat","Pusat",""
"Owner Beby Petshop Depok","Depok","6281279879665","Tidak","Depok","Pusat",""
"Owner Bp Adit Milo Petshop Jakarta","Jakarta Pusat","6281384820639","Tidak","Jakarta Pusat","Pusat",""
"Owner Bp Kamal Kamaru Petshop Tangerang","Tangerang","6289667874762","Tidak","Tangerang","Pusat",""
"Owner Bu SARI Kiyowo Petshop Sidoarjo","Sidoarjo","6281330660317","Tidak","Sidoarjo","Pusat",""
"Owner Dennis Soeltan Petshop Pati","Pati","6281284563539","Tidak","Pati","Pusat",""
"Owner Deris Prasati Petshop Purwakarta","Purwakarta","6281220524065","Tidak","Purwakarta","Pusat",""
"Owner Distributor Junus Gunawan CIIIP Petshop Banjar Masin","Jakarta Pusat","6281351815256","Tidak","Jakarta Pusat","Pusat",""
"Owner Eshan Petshop Pak Ehsan Cirebon","Cirebon","628987328532","Tidak","Cirebon","Pusat",""
"Owner Gudang Petshop Banjarmasin","Banjarmasin","6282153912888","Tidak","Banjarmasin","Pusat",""
"Owner Happy Petshop Bu Dida Situbondo","Jakarta Pusat","6282228034752","Tidak","Jakarta Pusat","Pusat",""
"Owner Hello Pet Makasar 2","Jakarta Pusat","6281343722222","Tidak","Jakarta Pusat","Pusat",""
"Owner Ibu Amelinda Aqila Petshop Pati","Pati","6289601479312","Tidak","Pati","Pusat",""
"Owner Ibu Riana Amazon Petshop","Jakarta Pusat","6281389155487","Tidak","Jakarta Pusat","Pusat",""
"Owner ID Petshop Kak Maya Semarang","Semarang","6281229807373","Tidak","Semarang","Pusat",""
"Owner Kak Joana Petshop Nano Bali","Denpasar","6288219027374","Tidak","Denpasar","Pusat",""
"Owner Nila Petshop Palembang","Palembang","6281378997833","Tidak","Palembang","Pusat",""
"Owner Pak Abid Ponorogo","Ponorogo","6287876336689","Tidak","Ponorogo","Pusat",""
"Owner Pak Andy Setyobuwono Cimi Petshop Magelang","Magelang","6287745448948","Tidak","Magelang","Pusat",""
"Owner Pak Dani Niki Petshop Banyumas Jateng","Semarang","6285747020227","Tidak","Semarang","Pusat",""
"Owner Pak Miko (Miko Petshop) Banyumas","Jakarta Pusat","6285780342848","Tidak","Jakarta Pusat","Pusat",""
"Owner Pak Prayoga Hobby Petshop Bandung","Bandung","628986109117","Tidak","Bandung","Pusat",""
"Owner Pak Rizki Adrian Cyber Petshop Bengkulu","Bengkulu","6285280000887","Tidak","Bengkulu","Pusat",""
"Owner Petnic Petshop Vika Jogja","Yogyakarta","6281327730033","Tidak","Yogyakarta","Pusat",""
"Owner Petshop Barik Bojonegoro","Bojonegoro","6281917688400","Tidak","Bojonegoro","Pusat",""
"Owner Petshop Bp Rizal Medan","Medan","6282381572185","Tidak","Medan","Pusat",""
"Owner Petshop Diki Jombang","Jombang","6282246669974","Tidak","Jombang","Pusat",""
"Owner Petshop Hello Pak Miko","Jakarta Pusat","6281343722222","Tidak","Jakarta Pusat","Pusat",""
"Owner Petshop Icha Denpasar Bali","Denpasar","6281289803114","Tidak","Denpasar","Pusat",""
"Owner Petshop Lucky Madiun","Madiun","6285785247202","Tidak","Madiun","Pusat",""
"Owner Petshop Lutfi Bojonegoro","Bojonegoro","6282140502353","Tidak","Bojonegoro","Pusat",""
"Owner Petshop Maya Bojonegoro","Bojonegoro","62881027573101","Tidak","Bojonegoro","Pusat",""
"Owner Petshop Miftahulkhoir81 Tangerang","Tangerang","6281316454241","Tidak","Tangerang","Pusat",""
"Owner Petshop Nanda Palembang","Palembang","6285156540275","Tidak","Palembang","Pusat",""
"Owner Petshop Novan Adiyatma Semarang","Semarang","628973411623","Tidak","Semarang","Pusat",""
"Owner Petshop Ratih Sidoarjo","Sidoarjo","6285722545692","Tidak","Sidoarjo","Pusat",""
"Owner Petshop Sumedang","Medan","6281222072208","Tidak","Medan","Pusat",""
"Owner Petshop Yohanes Semarang","Semarang","62895604489020","Tidak","Semarang","Pusat",""
"Owner Petshop Yulia Bojonegoro","Bojonegoro","6282266555602","Tidak","Bojonegoro","Pusat",""
"Owner Raka Sultans Petshop Sidoarjo","Sidoarjo","6281337302763","Tidak","Sidoarjo","Pusat",""
"Owner Roemi Petshop Pak Alpan Jogja","Yogyakarta","6281393923926","Tidak","Yogyakarta","Pusat",""
"Owner Selvy Fransischa Bluejiro Petshop Manado","Manado","6285399166555","Tidak","Manado","Pusat",""
"Owner sigit Herning Prabowo Petshop Bogor","Bogor","6281311347846","Tidak","Bogor","Pusat",""
"Owner Suharto Wagiman Negeri Fauna Petshop Tangerang","Tangerang","6281280131132","Tidak","Tangerang","Pusat",""
"Owner Tedy Petshop Kak Zaky Jember","Jember","6283852244688","Tidak","Jember","Pusat",""
"Owner The Cat Abdi Dery Petshop Produk","Jakarta Pusat","6287878887700","Tidak","Jakarta Pusat","Pusat",""
"Owner Yie Petshop Pontianak","Pontianak","6281256502222","Tidak","Pontianak","Pusat",""
"Owner Zona Petshop","Jakarta Pusat","6285386001970","Tidak","Jakarta Pusat","Pusat",""
"Owwa Petshop Jogja 2 DIY","Yogyakarta","6281363038003","Tidak","Yogyakarta","Pusat",""
"Owwa Petshop Jogja DIY","Yogyakarta","6281904064066","Tidak","Yogyakarta","Pusat",""
"Oyen Cat Petshop Serang Banten","Serang","6287720530154","Tidak","Serang","Pusat",""
"Ozius Petshop Palembang","Palembang","6282282537789","Tidak","Palembang","Pusat",""
"Pak Surya Herlambang Petshop Tangerang","Tangerang","6281291007787","Tidak","Tangerang","Pusat",""
"Pakan Harian Petshop Ternate","Jakarta Pusat","6285219821964","Tidak","Jakarta Pusat","Pusat",""
"Pal 7 Pet Shop Gorogol Jakarta Selatan","Jakarta Selatan","62817807171","Tidak","Jakarta Selatan","Pusat",""
"Pandoe Petshop Sawangan Depok","Depok","6285780652368","Tidak","Depok","Pusat",""
"Pandu Petshop Bondowoso","Jakarta Pusat","6285235943797","Tidak","Jakarta Pusat","Pusat",""
"Pantes Petshop Tulungagung Jatim","Tulungagung","6281259397172","Tidak","Tulungagung","Pusat",""
"Papa Petshop Bangli Bali","Denpasar","6281222555475","Tidak","Denpasar","Pusat",""
"Papa Petshop Karangasem Bali","Denpasar","6287861753738","Tidak","Denpasar","Pusat",""
"Papeso Petshop Depok","Depok","6281290848214","Tidak","Depok","Pusat",""
"Papito Petshop Surabaya","Surabaya","6281336622994","Tidak","Surabaya","Pusat",""
"Papua Animal Care","Jakarta Pusat","6281248846666","Tidak","Jakarta Pusat","Pusat",""
"Paradise Petshop","Jakarta Pusat","6281211901917","Tidak","Jakarta Pusat","Pusat",""
"Paradise Petshop Bekasi","Bekasi","6281311737561","Tidak","Bekasi","Pusat",""
"Paradise Petshop Bekasi Harapan Indah","Bekasi","6281389715088","Tidak","Bekasi","Pusat",""
"Paradise Petshop Karangasem Bali","Denpasar","6281236753501","Tidak","Denpasar","Pusat",""
"Pasir Ecer Solo Geo","Surakarta","6283863083663","Tidak","Surakarta","Pusat",""
"Pasir Ecer Solo Mentari","Surakarta","6282242369426","Tidak","Surakarta","Pusat",""
"Pasir Ecer Solo Unknown","Surakarta","6282138301212","Tidak","Surakarta","Pusat",""
"Pasir Kucing Gresik","Gresik","628570629924","Tidak","Gresik","Pusat",""
"Pasir kucing Indonesia","Jakarta Pusat","6281234119669","Tidak","Jakarta Pusat","Pusat",""
"Pasir Solo 1","Surakarta","6281329011719","Tidak","Surakarta","Pusat",""
"Pasuruan Petshop And Petcare","Pasuruan","6281217990825","Tidak","Pasuruan","Pusat",""
"Patzy Petshop Madiun","Madiun","6281357317596","Tidak","Madiun","Pusat",""
"Patzy Petshop Ponorogo","Ponorogo","6282266596335","Tidak","Ponorogo","Pusat",""
"Paw Atlantis Petshop & Vet Care Surabaya","Surabaya","6285807184500","Tidak","Surabaya","Pusat",""
"Paw Paw Petshop Denpasar","Denpasar","6281236663978","Tidak","Denpasar","Pusat",""
"Paw Paw Petshop Tangerang","Tangerang","6285890617888","Tidak","Tangerang","Pusat",""
"Paw Petshop And Care Surabaya","Surabaya","628977489277","Tidak","Surabaya","Pusat",""
"Paw Petshop Cirebon","Cirebon","62895382182025","Tidak","Cirebon","Pusat",""
"Paw Rangers Canggu Petshop Grooming Kak Agung Bali","Denpasar","6281238979139","Tidak","Denpasar","Pusat",""
"Pawer Vet Pet Shop & Pet Care Mojokerto","Mojokerto","6285755900219","Tidak","Mojokerto","Pusat",""
"PawPaw Petshop Sukoharjo Jawa Tengah","Sukoharjo","6285226058077","Tidak","Sukoharjo","Pusat",""
"Paws & Claws Petshop & Vare Pejanten Jakarta Selatan","Jakarta Selatan","628119888886","Tidak","Jakarta Selatan","Pusat",""
"Paws & Purrs Pet Care Samarinda Kaltim","Samarinda","6285175153737","Tidak","Samarinda","Pusat",""
"Paws Pethouse Bandar Lampung","Lampung","6285268453062","Tidak","Lampung","Pusat",""
"Paws Petshop Cilacap","Cilacap","6285602811301","Tidak","Cilacap","Pusat",""
"Pawsitive Animal Clinic Cirebon","Cirebon","6281915809192","Tidak","Cirebon","Pusat",""
"Pawvillion Petshop & Petcare Trenggalek","Trenggalek","6282330166616","Tidak","Trenggalek","Pusat",""
"Pee Wee Petshop Palembang","Palembang","6285377058865","Tidak","Palembang","Pusat",""
"Pekayon Petshop & Klinik Bekasi","Bekasi","6281283343083","Tidak","Bekasi","Pusat",""
"Pendopo Petshop & Dr Hewan Brebes Jateng","Semarang","6287827245984","Tidak","Semarang","Pusat",""
"Pendopo Petshop Pekalongan","Pekalongan","6282331907049","Tidak","Pekalongan","Pusat",""
"Perry Petshop Jakarta","Jakarta Pusat","6285253001116","Tidak","Jakarta Pusat","Pusat",""
"Pershop Ronald Purba Brastagi Petshop Medan","Medan","628126530344","Tidak","Medan","Pusat",""
"Persia Petshop Koja Jakarta Utara","Jakarta Utara","6285945607890","Tidak","Jakarta Utara","Pusat",""
"Persian Petshop Kediri Jatim","Kediri","628155604040","Tidak","Kediri","Pusat",""
"Perzty Petshop Kediri Jatim","Kediri","6282334935709","Tidak","Kediri","Pusat",""
"Pet and Vet Animal Clinic Magelang","Magelang","6282220067799","Tidak","Magelang","Pusat",""
"Pet And Vet Petshop & Animal Clininc Magelang","Magelang","6285729110013","Tidak","Magelang","Pusat",""
"Pet Care Bunda Depok","Depok","6287822822847","Tidak","Depok","Pusat",""
"Pet Care Coco Depok","Depok","6281288900029","Tidak","Depok","Pusat",""
"Pet Care Duta Depok","Depok","628119000307","Tidak","Depok","Pusat",""
"Pet Care Limo Depok","Depok","62811963567","Tidak","Depok","Pusat",""
